conference,title,abstract,keywords
IEEE Security and Privacy 2009,Wirelessly Pickpocketing a Mifare Classic Card,"The Mifare Classic is the most widely used contactless smartcard on the market. The stream cipher CRYPTO1 used by the classic has recently been reverse engineered and serious attacks have been proposed. The most serious of them retrieves a secret key in under a second. In order to clone a card, previously proposed attacks require that the adversary either has access to an eavesdropped communication session or executes a message-by-message man-in-the-middle attack between the victim and a legitimate reader. Although this is already disastrous from a cryptographic point of view, system integrators maintain that these attacks cannot be performed undetected.This paper proposes four attacks that can be executed by an adversary having only wireless access to just a card (and not to a legitimate reader). The most serious of them recovers a secret key in less than a second on ordinary hardware. Besides the cryptographic weaknesses, we exploit other weaknesses in the protocol stack. A vulnerability in the computation of parity bits allows an adversary to establish a side channel. Another vulnerability regarding nested authentications provides enough plaintext for a speedy known-plaintext attack.","cryptography, smart cards, Mifare classic card, contactless smartcard, stream cipher, CRYPTO1, eavesdropped communication session, message-by-message man-in-the-middle attack, speedy known-plaintext attack, Cryptography, Authentication, Radiofrequency identification, Cloning, Access protocols, Access control, Communication standards, Security, Privacy, Reverse engineering, RFID, Mifare Classic, side-channel attack, CRYPTO1, Contactless smartcard,"
IEEE Security and Privacy 2009,Plaintext Recovery Attacks against SSH,"This paper presents a variety of plaintext-recovering attacks against SSH. We implemented a proof of concept of our attacks against OpenSSH, where we can verifiably recover 14 bits of plaintext from an arbitrary block of ciphertext with probability 2-14 and 32 bits of plaintext from an arbitrary block of ciphertext with probability 2-18. These attacks assume the default configuration of a 128-bit block cipher operating in CBC mode. The paper explains why a combination of flaws in the basic design of SSH leads implementations such as OpenSSH to be open to our attacks, why current provable security results for SSH do not cover our attacks, and how the attacks can be prevented in practice.","cryptography, protocols, plaintext recovery attacks, OpenSSH, ciphertext arbitrary block, secure protocol suites, Cryptography, Information security, Internet, Privacy, Cryptographic protocols, Data mining, SSH, attack,"
IEEE Security and Privacy 2009,Exploiting Unix File-System Races via Algorithmic Complexity Attacks,"We defeat two proposed Unix file-system race condition defense mechanisms. First, we attack the probabilistic defense mechanism of Tsafrir, et al., published at USENIX FAST 2008. We then show that the same attack breaks the kernel-based dynamic race detector of Tsyrklevich and Yee, published at USENIX Security 2003. We then argue that all kernel-based dynamic race detectors must have a model of the programs they protect or provide imperfect protection. The techniques we develop for performing these attacks work on multiple Unix operating systems, on uni- and multi-processors, and are useful for exploiting most Unix file-system races. We conclude that programmers should use provably-secure methods for avoiding race conditions when accessing the file-system.","file organisation, security of data, Unix, Unix file-system race condition defense mechanisms, algorithmic complexity attacks, USENIX FAST 2008, kernel-based dynamic race detector, Unix operating systems, Protection, Detectors, Kernel, Operating systems, Security, Programming profession, Linux, Computer bugs, Privacy, Clocks,"
IEEE Security and Privacy 2009,Practical Mitigations for Timing-Based Side-Channel Attacks on Modern x86 Processors,"This paper studies and evaluates the extent to which automated compiler techniques can defend against timing-based side-channel attacks on modern x86 processors. We study how modern x86 processors can leak timing information through side-channels that relate to control flow and data flow. To eliminate key-dependent control flow and key-dependent timing behavior related to control flow, we propose the use of if-conversion in a compiler backend, and evaluate a proof-of-concept prototype implementation. Furthermore, we demonstrate two ways in which programs that lack key-dependent control flow and key-dependent cache behavior can still leak timing information on modern x86 implementations such as the Intel Core 2 Duo, and propose defense mechanisms against them.","data flow analysis, microprocessor chips, program compilers, security of data, modern x86 processors, timing-based side-channel attacks, automated compiler techniques, eliminate key-dependent control flow, data flow, key-dependent timing behavior, Intel Core 2 Duo, compiler backend, proof-of-concept prototype implementation, key-dependent cache behavior, Cryptography, Counting circuits, Timing, Automatic control, Hardware, Pipelines, Information security, Privacy, Information systems, Informatics,"
IEEE Security and Privacy 2009,Noninterference for a Practical DIFC-Based Operating System,"The Flume system is an implementation of decentralized information flow control (DIFC) at the operating system level. Prior work has shown Flume can be implemented as a practical extension to the Linux operating system, allowing real Web applications to achieve useful security guarantees. However, the question remains if the Flume system is actually secure. This paper compares Flume with other recent DIFC systems like Asbestos, arguing that the latter is inherently susceptible to certain wide-bandwidth covert channels, and proving their absence in Flume by means of a noninterference proof in the communicating sequential processes formalism.","Internet, Linux, operating systems (computers), security of data, practical DIFC-based operating system, Flume system, decentralized information flow control, Linux operating system, Web applications, Asbestos, communicating sequential processes, noninterference proof, Operating systems, Information security, Data security, Kernel, Control systems, Linux, Dynamic programming, Communication system security, Privacy, Artificial intelligence, Information flow control, covert channels, noninterference, Communicating Sequential Processes,"
IEEE Security and Privacy 2009,"Native Client: A Sandbox for Portable, Untrusted x86 Native Code","This paper describes the design, implementation and evaluation of Native Client, a sandbox for untrusted x86 native code. Native Client aims to give browser-based applications the computational performance of native applications without compromising safety. Native Client uses software fault isolation and a secure runtime to direct system interaction and side effects through interfaces managed by Native Client. Native Client provides operating system portability for binary code while supporting performance-oriented features generally absent from Web application programming environments, such as thread support, instruction set extensions such as SSE, and use of compiler intrinsics and hand-coded assembler. We combine these properties in an open architecture that encourages community review and 3rd-party tools.","computer interfaces, Internet, online front-ends, security of data, software performance evaluation, Native client, sandbox, untrusted x86 native code, browser-based applications, software fault isolation, operating system portability, binary code, Web application programming environments, thread support, instruction set extensions, hand-coded assembler, open architecture, Application software, Security, Operating systems, Yarn, Assembly systems, Manuals, Java, High performance computing, Physics computing, Privacy, Security, World Wide Web,"
IEEE Security and Privacy 2009,Automatic Reverse Engineering of Malware Emulators,"Malware authors have recently begun using emulation technology to obfuscate their code. They convert native malware binaries into bytecode programs written in a randomly generated instruction set and paired with a native binary emulator that interprets the bytecode. No existing malware analysis can reliably reverse this obfuscation technique. In this paper, we present the first work in automatic reverse engineering of malware emulators. Our algorithms are based on dynamic analysis. We execute the emulated malware in a protected environment and record the entire x86 instruction trace generated by the emulator. We then use dynamic data-flow and taint analysis over the trace to identify data buffers containing the bytecode program and extract the syntactic and semantic information about the bytecode instruction set. With these analysis outputs, we are able to generate data structures, such as control-flow graphs, that provide the foundation for subsequent malware analysis. We implemented a proof-of-concept system called Rotalume and evaluated it using both legitimate programs and malware emulated by VMProtect and code virtualizer. The results show that Rotalume accurately reveals the syntax and semantics of emulated instruction sets and reconstructs execution paths of original programs from their bytecode representations.","data flow analysis, data structures, invasive software, reverse engineering, malware emulators, automatic reverse engineering, bytecode programs, emulation technology, x86 instruction trace, dynamic data flow analysis, dynamic taint analysis, bytecode instruction set, data structures, control flow graphs, proof-of-concept system, Rotalume, VMProtect, code virtualizer, Reverse engineering, Emulation, Algorithm design and analysis, Protection, Data analysis, Information analysis, Computer buffers, Data mining, Data structures, Instruction sets, Malware Analysis, Obfuscation, Emulation, Reverse-engineering,"
IEEE Security and Privacy 2009,Prospex: Protocol Specification Extraction,"Protocol reverse engineering is the process of extracting application-level specifications for network protocols. Such specifications are very useful in a number of security-related contexts, for example, to perform deep packet inspection and black-box fuzzing, or to quickly understand custom botnet command and control (C&C) channels. Since manual reverse engineering is a time-consuming and tedious process, a number of systems have been proposed that aim to automate this task. These systems either analyze network traffic directly or monitor the execution of the application that receives the protocol messages. While previous systems show that precise message formats can be extracted automatically, they do not provide a protocol specification.The reason is that they do not reverse engineer the protocol state machine. In this paper, we focus on closing this gap by presenting a system that is capable of automatically inferring state machines. This greatly enhances the results of automatic protocol reverse engineering, while further reducing the need for human interaction. We extend previous work that focuses on behavior-based message format extraction, and introduce techniques for identifying and clustering different types of messages not only based on their structure, but also according to the impact of each message on server behavior. Moreover, we present an algorithm for extracting the state machine. We have applied our techniques to a number of real-world protocols, including the command and control protocol used by a malicious bot. Our results demonstrate that we are able to extract format specifications for different types of messages and meaningful protocol state machines. We use these protocol specifications to automatically generate input for a stateful fuzzer, allowing us to discover security vulnerabilities in real-world applications.","formal specification, protocols, reverse engineering, security of data, protocol specification extraction, application-level specifications, network protocols, state machines, automatic protocol reverse engineering, behavior-based message format extraction, malicious bot, Protocols, Reverse engineering, Data mining, Command and control systems, Monitoring, Network servers, Telecommunication traffic, Inspection, Humans, Security,"
IEEE Security and Privacy 2009,Quantifying Information Leaks in Outbound Web Traffic,"As the Internet grows and network bandwidth continues to increase, administrators are faced with the task of keeping confidential information from leaving their networks. Todaypsilas network traffic is so voluminous that manual inspection would be unreasonably expensive. In response, researchers have created data loss prevention systems that check outgoing traffic for known confidential information. These systems stop naive adversaries from leaking data, but are fundamentally unable to identify encrypted or obfuscated information leaks. What remains is a high-capacity pipe for tunneling data to the Internet. We present an approach for quantifying information leak capacity in network traffic. Instead of trying to detect the presence of sensitive data-an impossible task in the general case--our goal is to measure and constrain its maximum volume. We take advantage of the insight that most network traffic is repeated or determined by external information, such as protocol specifications or messages sent by a server. By filtering this data, we can isolate and quantify true information flowing from a computer. In this paper, we present measurement algorithms for the Hypertext Transfer Protocol (HTTP), the main protocol for Web browsing. When applied to real Web browsing traffic, the algorithms were able to discount 98.5% of measured bytes and effectively isolate information leaks.","hypermedia, Internet, protocols, telecommunication security, telecommunication traffic, outbound Web browsing traffic, information leaks, Internet, network bandwidth, data loss prevention systems, network traffic, protocol specifications, hypertext transfer protocol, Telecommunication traffic, Protocols, IP networks, Bandwidth, Inspection, Cryptography, Tunneling, Internet, Volume measurement, Network servers, Information Leaks, HTTP, Web Traffic, Forensics, Intrusion Detection,"
IEEE Security and Privacy 2009,Automatic Discovery and Quantification of Information Leaks,"Information-flow analysis is a powerful technique for reasoning about the sensitive information exposed by a program during its execution. We present the first automatic method for information-flow analysis that discovers what information is leaked and computes its comprehensive quantitative interpretation. The leaked information is characterized by an equivalence relation on secret artifacts, and is represented by a logical assertion over the corresponding program variables. Our measurement procedure computes the number of discovered equivalence classes and their sizes. This provides a basis for computing a set of quantitative properties, which includes all established information-theoretic measures in quantitative information-flow. Our method exploits an inherent connection between formal models of qualitative information-flow and program verification techniques. We provide an implementation of our method that builds upon existing tools for program verification and information-theoretic analysis. Our experimental evaluation indicates the practical applicability of the presented method.","reasoning about programs, security of data, information leaks, information-flow analysis, comprehensive quantitative interpretation, program verification techniques, information-theoretic analysis, Information analysis, Entropy, Information security, Size measurement, Information theory, Communication channels, Channel capacity, Privacy, Throughput, Data flow computing, Information Flow, Information Theory, Program Analysis,"
