conference,title,abstract,keywords
IEEE Security and Privacy 2013,All Your IFCException Are Belong to Us,"Existing designs for fine-grained, dynamic information-flow control assume that it is acceptable to terminate the entire system when an incorrect flow is detected-i.e, they give up availability for the sake of confidentiality and integrity. This is an unrealistic limitation for systems such as long-running servers. We identify public labels and delayed exceptions as crucial ingredients for making information-flow errors recoverable in a sound and usable language, and we propose two new error-handling mechanisms that make all errors recoverable. The first mechanism builds directly on these basic ingredients, using not-a-values (NaVs) and data flow to propagate errors. The second mechanism adapts the standard exception model to satisfy the extra constraints arising from information flow control, converting thrown exceptions to delayed ones at certain points. We prove that both mechanisms enjoy the fundamental soundness property of non-interference. Finally, we describe a prototype implementation of a full-scale language with NaVs and report on our experience building robust software components in this setting.","data flow analysis, error handling, software reliability, system recovery, fine-grained dynamic information flow control, public labels, delayed exceptions, information flow error recovery, error-handling mechanisms, not-a-values, data flow, standard exception model, fundamental soundness property, noninterference property, full-scale language, NaV, robust software components, IFCException, Servers, Standards, Security, Context, Availability, Calculus, Data structures, dynamic information flow control, fine-grained labeling, availability, reliability, error recovery, exception handling, programming-language design, public labels, delayed exceptions, not-a-values, NaVs,"
IEEE Security and Privacy 2013,"Declarative, Temporal, and Practical Programming with Capabilities","New operating systems, such as the Capsicum capability system, allow a programmer to write an application that satisfies strong security properties by invoking security-specific system calls at a few key points in the program. However, rewriting an application to invoke such system calls correctly is an error-prone process: even the Capsicum developers have reported difficulties in rewriting programs to correctly invoke system calls. This paper describes capweave, a tool that takes as input (i) an LLVM program, and (ii) a declarative policy of the possibly-changing capabilities that a program must hold during its execution, and rewrites the program to use Capsicum system calls to enforce the policy. Our experiments demonstrate that capweave can be applied to rewrite security-critical UNIX utilities to satisfy practical security policies. capweave itself works quickly, and the runtime overhead incurred in the programs that capweave produces is generally low for practical workloads.","program compilers, program verification, rewriting systems, security of data, software tools, Unix, declarative programming, practical programming, temporal programming, operating systems, security-specific system calls, error-prone process, Capsicum developers, Capsicum capability system, program rewriting, capweave, LLVM program, declarative policy, Capsicum system calls, security-critical UNIX utilities, security policy, runtime overhead, Instruments, Security, Uniform resource locators, Weaving, Servers, Operating systems, Semantics, capabilities, safety games,"
IEEE Security and Privacy 2013,Towards Practical Reactive Security Audit Using Extended Static Checkers,"This paper describes our experience of performing reactive security audit of known security vulnerabilities in core operating system and browser COM components, using an extended static checker HAVOCLITE. We describe the extensions made to the tool to be applicable on such large C++ components, along with our experience of using an extended static checker in the large. We argue that the use of such checkers as a configurable static analysis in the hands of security auditors can be an effective tool for finding variations of known vulnerabilities. The effort has led to finding and fixing around 70 previously unknown security vulnerabilities in over 10 millions lines operating system and browser code.","C++ language, formal verification, operating systems (computers), program compilers, security of data, practical reactive security audit, extended static checkers, security vulnerabilities, core operating system, browser COM components, extended static checker HAVOCLITE, C++ components, configurable static analysis, security auditors, browser code, Security, Instruments, Object oriented modeling, Browsers, Manuals, Contracts, Semantics, security audit, program verification, static analysis, extended static checking,"
IEEE Security and Privacy 2013,SoK: Eternal War in Memory,"Memory corruption bugs in software written in low-level languages like C or C++ are one of the oldest problems in computer security. The lack of safety in these languages allows attackers to alter the program's behavior or take full control over it by hijacking its control flow. This problem has existed for more than 30 years and a vast number of potential solutions have been proposed, yet memory corruption attacks continue to pose a serious threat. Real world exploits show that all currently deployed protections can be defeated. This paper sheds light on the primary reasons for this by describing attacks that succeed on today's systems. We systematize the current knowledge about various protection techniques by setting up a general model for memory corruption attacks. Using this model we show what policies can stop which attacks. The model identifies weaknesses of currently deployed techniques, as well as other proposed protections enforcing stricter policies. We analyze the reasons why protection mechanisms implementing stricter polices are not deployed. To achieve wide adoption, protection mechanisms must support a multitude of features and must satisfy a host of requirements. Especially important is performance, as experience shows that only solutions whose overhead is in reasonable bounds get deployed. A comparison of different enforceable policies helps designers of new protection mechanisms in finding the balance between effectiveness (security) and efficiency. We identify some open research problems, and provide suggestions on improving the adoption of newer techniques.","program debugging, security of data, software reliability, storage management, SoK, computer security, memory corruption bugs, memory corruption attacks, protection techniques, protection mechanisms, Computer bugs, Safety, Security, Programming, Arrays, Aerospace electronics, Memory management,"
IEEE Security and Privacy 2013,The Parrot Is Dead: Observing Unobservable Network Communications,"In response to the growing popularity of Tor and other censorship circumvention systems, censors in non-democratic countries have increased their technical capabilities and can now recognize and block network traffic generated by these systems on a nationwide scale. New censorship-resistant communication systems such as Skype Morph, Stego Torus, and Censor Spoofer aim to evade censors' observations by imitating common protocols like Skype and HTTP. We demonstrate that these systems completely fail to achieve unobservability. Even a very weak, local censor can easily distinguish their traffic from the imitated protocols. We show dozens of passive and active methods that recognize even a single imitated session, without any need to correlate multiple network flows or perform sophisticated traffic analysis. We enumerate the requirements that a censorship-resistant system must satisfy to successfully mimic another protocol and conclude that ""unobservability by imitation"" is a fundamentally flawed approach. We then present our recommendations for the design of unobservable communication systems.","computer networks, data privacy, security of data, telecommunication traffic, unobservable network communications, Tor, censorship circumvention systems, network traffic recognition, network traffic blocking, censorship-resistant communication systems, SkypeMorph, StegoTorus, CensorSpoofer, Skype protocol, HTTP protocol, unobservability by imitation, parrot circumvention systems, Protocols, MIMICs, Bridges, Servers, IP networks, Cryptography, Ports (Computers), Censorship circumvention, unobservable communications, Tor pluggable transports,"
IEEE Security and Privacy 2013,"Trawling for Tor Hidden Services: Detection, Measurement, Deanonymization","Tor is the most popular volunteer-based anonymity network consisting of over 3000 volunteer-operated relays. Apart from making connections to servers hard to trace to their origin it can also provide receiver privacy for Internet services through a feature called ""hidden services"". In this paper we expose flaws both in the design and implementation of Tor's hidden services that allow an attacker to measure the popularity of arbitrary hidden services, take down hidden services and deanonymize hidden services. We give a practical evaluation of our techniques by studying: (1) a recent case of a botnet using Tor hidden services for command and control channels; (2) Silk Road, a hidden service used to sell drugs and other contraband; (3) the hidden service of the DuckDuckGo search engine.","data privacy, Internet, search engines, Tor hidden services, volunteer based anonymity network, volunteer operated relays, Internet service privacy, arbitrary hidden services, deanonymize hidden services, command and control channels, Silk Road, DuckDuckGo search engine, Relays, Bandwidth, IP networks, Malware, Servers, Privacy, Web and internet services, Tor, anonymity network, privacy, hidden services,"
IEEE Security and Privacy 2013,SoK: P2PWNED - Modeling and Evaluating the Resilience of Peer-to-Peer Botnets,"Centralized botnets are easy targets for takedown efforts by computer security researchers and law enforcement. Thus, botnet controllers have sought new ways to harden the infrastructures of their botnets. In order to meet this objective, some botnet operators have (re)designed their botnets to use Peer-to-Peer (P2P) infrastructures. Many P2P botnets are far more resilient to takedown attempts than centralized botnets, because they have no single points of failure. However, P2P botnets are subject to unique classes of attacks, such as node enumeration and poisoning. In this paper, we introduce a formal graph model to capture the intrinsic properties and fundamental vulnerabilities of P2P botnets. We apply our model to current P2P botnets to assess their resilience against attacks. We provide assessments on the sizes of all eleven active P2P botnets, showing that some P2P botnet families contain over a million bots. In addition, we have prototyped several mitigation strategies to measure the resilience of existing P2P botnets. We believe that the results from our analysis can be used to assist security researchers in evaluating mitigation strategies against current and future P2P botnets.","computer network security, peer-to-peer computing, SoK, P2PWNED, centralized botnets, computer security researchers, law enforcement, botnet operators, peer-to-peer infrastructures, node enumeration, node poisoning, formal graph model, intrinsic properties, active P2P botnets, mitigation strategies, Peer-to-peer computing, Resilience, Storms, Protocols, Malware, Topology, Servers,"
IEEE Security and Privacy 2013,Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures,"Malicious Web activities continue to be a major threat to the safety of online Web users. Despite the plethora forms of attacks and the diversity of their delivery channels, in the back end, they are all orchestrated through malicious Web infrastructures, which enable miscreants to do business with each other and utilize others' resources. Identifying the linchpins of the dark infrastructures and distinguishing those valuable to the adversaries from those disposable are critical for gaining an upper hand in the battle against them. In this paper, using nearly 4 million malicious URL paths crawled from different attack channels, we perform a large-scale study on the topological relations among hosts in the malicious Web infrastructure. Our study reveals the existence of a set of topologically dedicated malicious hosts that play orchestrating roles in malicious activities. They are well connected to other malicious hosts and do not receive traffic from legitimate sites. Motivated by their distinctive features in topology, we develop a graph-based approach that relies on a small set of known malicious hosts as seeds to detect dedicate malicious hosts in a large scale. Our method is general across the use of different types of seed data, and results in an expansion rate of over 12 times in detection with a low false detection rate of 2%. Many of the detected hosts operate as redirectors, in particular Traffic Distribution Systems (TDSes) that are long-lived and receive traffic from new attack campaigns over time. These TDSes play critical roles in managing malicious traffic flows. Detecting and taking down these dedicated malicious hosts can therefore have more impact on the malicious Web infrastructures than aiming at short-lived doorways or exploit sites.","Internet, security of data, telecommunication traffic, linchpins, dark Web, topologically dedicated hosts, malicious Web infrastructures, malicious URL paths, attack channels, malicious hosts, graph-based approach, seed data, low false detection rate, traffic distribution systems, TDS, short-lived doorways, Uniform resource locators, Feeds, Twitter, Topology, Servers, Crawlers, Labeling,"
IEEE Security and Privacy 2013,The Crossfire Attack,"We present the Crossfire attack -- a powerful attack that degrades and often cuts off network connections to a variety of selected server targets (e.g., servers of an enterprise, a city, a state, or a small country) by flooding only a few network links. In Crossfire, a small set of bots directs low intensity flows to a large number of publicly accessible servers. The concentration of these flows on the small set of carefully chosen links floods these links and effectively disconnects selected target servers from the Internet. The sources of the Crossfire attack are undetectable by any targeted servers, since they no longer receive any messages, and by network routers, since they receive only low-intensity, individual flows that are indistinguishable from legitimate flows. The attack persistence can be extended virtually indefinitely by changing the set of bots, publicly accessible servers, and target links while maintaining the same disconnection targets. We demonstrate the attack feasibility using Internet experiments, show its effects on a variety of chosen targets (e.g., servers of universities, US states, East and West Coasts of the US), and explore several countermeasures.","computer network security, telecommunication links, telecommunication network routing, crossfire attack persistence, network connections, network link floods, bot connection, publicly accessible servers, target servers, network routers, legitimate flows, disconnection target links, Servers, Internet, Bandwidth, IP networks, Measurement, Educational institutions, Protocols,"
IEEE Security and Privacy 2013,Ghost Talk: Mitigating EMI Signal Injection Attacks against Analog Sensors,"Electromagnetic interference (EMI) affects circuits by inducing voltages on conductors. Analog sensing of signals on the order of a few millivolts is particularly sensitive to interference. This work (1) measures the susceptibility of analog sensor systems to signal injection attacks by intentional, low-power emission of chosen electromagnetic waveforms, and (2) proposes defense mechanisms to reduce the risks. Our experiments use specially crafted EMI at varying power and distance to measure susceptibility of sensors in implantable medical devices and consumer electronics. Results show that at distances of 1-2m, consumer electronic devices containing microphones are vulnerable to the injection of bogus audio signals. Our measurements show that in free air, intentional EMI under 10 W can inhibit pacing and induce defibrillation shocks at distances up to 1-2m on implantable cardiac electronic devices. However, with the sensing leads and medical devices immersed in a saline bath to better approximate the human body, the same experiment decreases to about 5 cm. Our defenses range from prevention with simple analog shielding to detection with a signal contamination metric based on the root mean square of waveform amplitudes. Our contribution to securing cardiac devices includes a novel defense mechanism that probes for forged pacing pulses inconsistent with the refractory period of cardiac tissue.","biological tissues, biomedical transducers, electromagnetic interference, interference suppression, mean square error methods, medical signal processing, microphones, ghost talk, EMI signal injection attack mitigation, electromagnetic interference, conductor, analog sensor system, low-power emission, electromagnetic waveform, EMI, medical device, consumer electronics, microphone, bogus audio signal, implantable cardiac electronic device, saline bath, signal contamination metric, root mean square, waveform amplitude, cardiac tissue, power 10 W, Electromagnetic interference, Sensors, Frequency modulation, Baseband, Resonant frequency, Microphones, Electrocardiography, Attacks and defenses, embedded systems security, hardware security, analog sensors,"
